FST1,สันคอหมูเทอริยากิ ,Teriyaki pork steak,79,NULL,NULL,NULL,NULL
FST2 ,สันคอหมูพริกไทยดำ ,Black pepper pork steak,79,NULL,NULL,NULL,NULL
FST3 ,ไส้กรอกหมูรมควัน,Smoked pork sausage,79,NULL,NULL,NULL,NULL
FST4 ,สเกต็กไก่พริกไทยดำ ,Black pepper chicken steak,79,NULL,NULL,NULL,NULL
FST5 ,สเตกไก่สไปซี่ ,Spicy chicken steak,79,NULL,NULL,NULL,NULL
FST6 ,พอร์คชอพริกไทยดำคำไวน์แดง  ,Black Peper red wine Porkchop,129,NULL,NULL,NULL,NULL
FST7 ,พอรคซอพริบน้ำผึ้งมัสตาร์ดซอส ,Honey mustard sauce Porkchop Rib,145,NULL,NULL,NULL,NULL
FST8 ,สเต็กเนี้อสันนอกพริกไทยดำไวน์แดง ,"Black pepper, red wine Steiploin ",189,NULL,NULL,NULL,NULL
FST9 ,สเต็กเนี้อสันแหลมพริกไทยไวน์แดง ,"Black pepper, red wine Rib Eye",189,NULL,NULL,NULL,NULL
FST10 ,สเต็กเนื้อทีโบนพริกไทยดำไวน์แดง ,"Black pepper, red wine T-Bome steak",250,NULL,NULL,NULL,NULL
FST11 ,สเต็กเซ็ตคู่ ทีโบน+สันนอก ,Combo T-bone + Striploin,395,NULL,NULL,NULL,NULL
FST12 ,สเต็กปลาแซลมอลเทริยากิ ,Salmon Teriyaki,189,NULL,NULL,NULL,NULL
FST13 ,สเต็กปลาซาบะเทริยากิ ,Saba Teriyaki,129,NULL,NULL,NULL,NULL
FST14 ,สเต็กทีโบน ,T-Bone steak,250,NULL,NULL,NULL,NULL
FST15 ,สเต็กเนี้อสัน ,Striploin steak,189,NULL,NULL,NULL,NULL
FSA1 ,สลัด แจสเฮาส์ ,Jazz House Salad,60,NULL,NULL,NULL,NULL
FSA2 ,สลัด ไก่ ,Chicken Salad,79,NULL,NULL,NULL,NULL
FSA3 ,สลัดแฮม ,Ham Salad ,79,NULL,NULL,NULL,NULL
FSA4 ,สลัดไส้กรอก ,Sausage Salad,79,NULL,NULL,NULL,NULL
FSA5 ,สลัดกุ้งทอด ,Fried Shrimp Salad,99,NULL,NULL,NULL,NULL
FSA6 ,สลัดปลาแซลมอลทอด ,Fried Salmon Salad,135,NULL,NULL,NULL,NULL
FSP1 ,สปาเกตตี้ซอสหมู ,Spaghetti pork sauce,65,NULL,NULL,NULL,NULL
FSP2 ,สปาเกตตี้ซอสไก่ ,Spaghetti chicken sauce,65,NULL,NULL,NULL,NULL
FSP3 ,สปาเกตตี้กระเพราหมู ,Spaghetti Krapoa pork,65,NULL,NULL,NULL,NULL
FSP4 ,สปาเก็ตตี้กระเพราไก่ ,Spaghetti Krapoa chicken,65,NULL,NULL,NULL,NULL
FSP5 ,สปาเกตตี้เบคอนสไปซ์ ,Spaghetti Bacon spice,69,NULL,NULL,NULL,NULL
FSP6 ,สปาเกตตี้คาโยนารา ,Spaghetti cabpnara,89,NULL,NULL,NULL,NULL
FOR1 ,ข้าวกระเพราไก่ ,Kraprao chicken  ,49,NULL,NULL,NULL,NULL
FOR2 ,ข้าวกระเพราหมูสับ ,Kraprao pork,49,NULL,NULL,NULL,NULL
FOR3 ,ข้าวแพนงหมู ,Pork Panang curry,55,NULL,NULL,NULL,NULL
FOR4 ,ข้าวแกงเขียวหวานไก่ ,Gree curry pork,55,NULL,NULL,NULL,NULL
FOR5 ,ข้าวแกงเขียวหวานหมู,Gree curry chicken,55,NULL,NULL,NULL,NULL
FOR6 ,ข้าวหมูเทริยากิ ,Pork teriyakj,55,NULL,NULL,NULL,NULL
FOR7 ,ข้าวหมูเกาหลี ,Korean style pork,55,NULL,NULL,NULL,NULL
FOR8 ,ข้าวกระเพราหมูกรอบ ,Kraprao  crispy pork,55,NULL,NULL,NULL,NULL
FOR9 ,ข้าวไข่เจียวหมูสับ ไข่สองฟอง ,Fried egg with pork two eggs,50,NULL,NULL,NULL,NULL
FOR10 ,ข้าวคะน้าหมู ,Stir-fried kale with pork,55,NULL,NULL,NULL,NULL
FOR11 ,ข้าวคะน้าหมูกรอบ ,Stir-fried kale with crispy pork,55,NULL,NULL,NULL,NULL
FOR12 ,ข้าวผัดหมู ,Fried rice with pork,55,NULL,NULL,NULL,NULL
FOR13 ,ข้าวผัดปลาหมึก ,Fried rice with squid,69,NULL,NULL,NULL,NULL
FOR14 ,ข้าวผัดกุ้ง ,Fried rice with shrimp,69,NULL,NULL,NULL,NULL
FOR15 ,ข้าวต้มหมู ,Porridge with pork,39,NULL,NULL,NULL,NULL
FOR16 ,ข้าวต้มปลาหมึก ,Porridge with squid,55,NULL,NULL,NULL,NULL
FOR17 ,ข้าวต้มกุ้ง ,Porridge with shrimp,55,NULL,NULL,NULL,NULL
FOR18 ,มาม่าผัดหมู ,Stir Mama with pork,49,NULL,NULL,NULL,NULL
FOR19 ,มาม่าต้มหมูสับ ,Bolled Mama with minced pork,49,NULL,NULL,NULL,NULL
FOR20 ,ไข่ดาว ,egg,10,NULL,NULL,NULL,NULL
FOR21 ,ไข่เจียว 1 ฟอง ,fried egg/1 egg,15,NULL,NULL,NULL,NULL
FOR22 ,ข้าวสวยหอมมะลิ 1 จาน ,Jasmine Stamed rice /1 dish,10,NULL,NULL,NULL,NULL
FOR23,ข้าวไข่ระเบิด,Rice with hot and spicy egg,59,NULL,NULL,NULL,NULL
FOR24,ข้าวหมูผัดพริกแกง,Rice with hot spicy pork,55,NULL,NULL,NULL,NULL
FP1 ,กระเพราไก่ ,Kraprao chicken  ,69,NULL,NULL,NULL,NULL
FP2 ,กระเพราหมูสับ ,Kraprao pork,69,NULL,NULL,NULL,NULL
FP3 ,แพนงหมู ,Pork Panang curry,79,NULL,NULL,NULL,NULL
FP4 ,แกงเขียวหวานไก่ ,Gree curry pork,79,NULL,NULL,NULL,NULL
FP5 ,แกงเขียวหวานหมู ,Gree curry chicken,79,NULL,NULL,NULL,NULL
FP6,หมูเทริยากิ ,Pork teriyakj,79,NULL,NULL,NULL,NULL
FP7 ,หมูเกาหลี ,Korean style pork,79,NULL,NULL,NULL,NULL
FP8 ,กระเพราหมูกรอบ ,Kraprao  crispy pork,79,NULL,NULL,NULL,NULL
FP9 ,ไข่เจียวหมูสับ ไข่สองฟอง ,Fried egg with pork two eggs,40,NULL,NULL,NULL,NULL
FP10 ,คะน้าหมู ,Stir-fried kale with pork,69,NULL,NULL,NULL,NULL
FP11 ,คะน้าหมูกรอบ ,Stir-fried kale with crispy pork,69,NULL,NULL,NULL,NULL
FSF1 ,ผัดผักรวมมิตร  ,Yum fried eggs,49,NULL,NULL,NULL,NULL
FSF2 ,หน่อไม้ผรั่งผัดกุ้ง ,Fried Asparagus with  shrimp,79,NULL,NULL,NULL,NULL
FSO1 ,ต้มยำไก่ ,Tom yum chicken,99,NULL,NULL,NULL,NULL
FSO2 ,ต้มยำกุ้ง ,Tom yum shrimp,99,NULL,NULL,NULL,NULL
FSO3 ,ต้มยำปลาหมึก ,Tom yum squid,99,NULL,NULL,NULL,NULL
FSO4 ,ต้มยำรวม ,Tom yum mix,99,NULL,NULL,NULL,NULL
FSO5 ,แกงจืดเต้าหู้หมูสับ,Tofu soup,79,NULL,NULL,NULL,NULL
FSO6 ,ซุปครีมข้าวโพด,Corn cream soup,59,NULL,NULL,NULL,NULL
FSO7 ,ซุปครีมเห็ด,Mushroom cream soup,59,NULL,NULL,NULL,NULL
FSY1 ,ยำไข่ดาว ,Yum fried eggs,59,NULL,NULL,NULL,NULL
FSY2 ,ยำไส้กรอกปลา ,Yum fish sausage,59,NULL,NULL,NULL,NULL
